LINEUPS,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,+/-
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .J. Poole",GSW,29,12.0,28.6,10.7,21.7,49.4,3.5,9.2,38.3,3.7,5.3,69.9,2.7,9.3,12.0,7.8,4.5,2.1,1.6,1.1,5.1,4.5,1.8
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,13,3.9,9.4,3.1,6.8,45.5,1.5,3.8,40.8,1.7,2.2,78.6,0.5,2.4,2.8,1.9,1.6,1.2,0.2,0.2,2.1,1.7,1.1
".S. Curry, .A. Wiggins, .K. Looney, .G. Payton II, .J. Poole",GSW,12,3.2,8.3,3.1,5.5,56.1,1.3,2.8,45.5,0.8,1.1,76.9,0.5,1.6,2.1,1.8,0.8,0.7,0.3,0.3,1.7,1.3,0.6
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,11,7.8,19.2,7.1,14.8,47.9,2.7,7.1,38.5,2.3,3.0,75.8,2.0,5.7,7.7,4.7,1.6,1.3,1.0,0.7,2.5,3.2,3.7
".S. Curry, .D. Green, .A. Wiggins, .J. Toscano-Anderson, .J. Poole",GSW,11,2.9,7.5,2.6,5.8,45.3,1.4,3.3,41.7,0.8,1.1,75.0,0.6,2.1,2.7,2.2,0.4,0.8,0.3,0.6,1.1,1.3,1.5
".S. Curry, .K. Thompson, .O. Porter Jr., .A. Wiggins, .K. Looney",GSW,10,8.1,19.8,7.0,15.2,46.1,2.8,6.6,42.4,3.0,3.9,76.9,1.9,5.5,7.4,3.9,2.6,2.5,0.8,0.9,3.3,2.9,1.8
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II",GSW,10,4.0,9.9,3.7,7.6,48.7,1.5,3.7,40.5,1.0,1.9,52.6,1.0,3.3,4.3,2.4,1.2,1.1,1.0,0.3,1.7,1.5,2.4
".S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Toscano-Anderson",GSW,10,3.8,8.5,2.8,6.4,43.8,1.6,3.8,42.1,1.3,2.1,61.9,1.0,2.1,3.1,1.7,1.9,0.8,0.6,0.3,1.6,1.3,-0.5
".N. Bjelica, .D. Green, .A. Wiggins, .G. Payton II, .J. Poole",GSW,10,2.9,5.4,2.1,5.3,39.6,0.3,2.0,15.0,0.9,1.0,90.0,0.4,1.9,2.3,1.6,0.8,0.7,0.1,0.2,1.8,0.7,-1.6
".O. Porter Jr., .A. Wiggins, .K. Looney, .D. Lee, .J. Poole",GSW,10,2.4,4.6,1.7,4.1,41.5,0.3,1.7,17.6,0.9,0.9,100,0.5,1.7,2.2,0.7,0.7,0.5,0.1,0.3,0.8,0.7,0.0
".O. Porter Jr., .A. Wiggins, .K. Looney, .G. Payton II, .J. Poole",GSW,9,3.3,6.3,2.2,5.9,37.7,0.8,2.7,29.2,1.1,1.4,76.9,0.7,2.9,3.6,1.3,0.6,0.4,0.1,0.4,1.3,1.1,0.2
".D. Green, .A. Wiggins, .K. Looney, .D. Lee, .J. Poole",GSW,9,3.1,5.7,2.3,5.0,46.7,0.6,2.1,26.3,0.4,0.8,57.1,0.3,2.1,2.4,1.4,1.0,0.4,0.4,0.2,1.0,0.9,-0.9
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .G. Payton II",GSW,8,6.0,16.3,6.1,11.9,51.6,2.3,5.6,40.0,1.8,1.9,93.3,1.5,4.3,5.8,4.3,1.6,2.1,0.5,0.3,2.1,2.3,2.8
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .J. Poole",GSW,8,5.5,15.4,5.4,10.8,50.0,2.6,5.3,50.0,2.0,2.5,80.0,1.1,5.1,6.3,3.9,1.1,0.8,0.9,0.4,2.0,2.1,6.3
".D. Green, .O. Porter Jr., .A. Wiggins, .G. Payton II, .J. Poole",GSW,8,4.3,10.8,3.6,7.8,46.8,1.6,3.3,50.0,1.9,2.5,75.0,0.9,4.3,5.1,2.5,1.5,1.1,0.4,0.4,1.8,2.0,3.6
".S. Curry, .A. Wiggins, .K. Looney, .J. Toscano-Anderson, .J. Poole",GSW,8,2.7,6.4,2.4,5.6,42.2,1.0,2.8,36.4,0.6,0.9,71.4,1.5,1.0,2.5,1.5,0.8,0.6,0.1,0.4,1.1,0.8,-1.5
".N. Bjelica, .A. Wiggins, .G. Payton II, .D. Lee, .J. Poole",GSW,8,2.0,5.0,1.8,3.9,45.2,0.9,2.0,43.8,0.6,0.8,83.3,0.4,1.8,2.1,1.5,0.5,0.3,0.3,0.1,0.8,0.9,1.3
".S. Curry, .A. Wiggins, .K. Looney, .J. Poole, .J. Kuminga",GSW,8,1.9,4.8,1.6,3.9,41.9,0.8,2.0,37.5,0.8,1.0,75.0,0.5,1.5,2.0,1.0,0.5,0.3,0.3,0.0,1.3,1.3,0.5
".A. Wiggins, .K. Looney, .D. Lee, .J. Poole, .J. Kuminga",GSW,8,1.7,4.0,1.3,2.5,50.0,0.5,1.3,40.0,1.0,1.3,80.0,0.6,1.0,1.6,0.9,0.6,0.1,0.1,0.0,0.9,0.8,-0.4
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .M. Moody",GSW,7,7.2,15.9,6.4,13.6,47.4,2.3,5.6,41.0,0.7,1.0,71.4,1.3,5.9,7.1,4.9,2.4,0.9,0.7,0.4,3.7,1.6,-0.7
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .G. Payton II",GSW,7,6.1,14.3,5.4,11.7,46.3,2.1,4.6,46.9,1.3,1.9,69.2,1.1,4.9,6.0,4.0,1.7,1.3,0.7,0.0,2.9,1.6,1.7
".K. Thompson, .O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole",GSW,7,5.0,13.1,4.7,9.7,48.5,1.9,4.6,40.6,1.9,3.0,61.9,2.0,3.9,5.9,3.0,1.4,1.3,0.3,0.4,2.1,1.7,1.6
".S. Curry, .D. Green, .O. Porter Jr., .A. Wiggins, .D. Lee",GSW,7,1.9,2.3,1.0,3.7,26.9,0.3,2.0,14.3,0.0,0.0,0.0,0.4,1.3,1.7,0.6,1.1,0.0,0.1,0.1,1.0,0.4,-2.4
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .D. Lee",GSW,7,1.4,4.6,1.7,3.0,57.1,0.1,0.7,20.0,1.0,1.4,70.0,0.6,1.0,1.6,1.0,0.3,0.4,0.0,0.1,0.6,1.0,0.9
".S. Curry, .N. Bjelica, .D. Green, .A. Wiggins, .J. Poole",GSW,7,1.2,4.0,1.4,2.6,55.6,0.7,1.6,45.5,0.4,0.6,75.0,0.3,1.1,1.4,1.1,0.3,0.0,0.0,0.3,0.1,0.3,0.7
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .D. Lee, .J. Poole",GSW,6,4.2,8.3,3.3,7.2,46.5,0.8,3.3,25.0,0.8,1.0,83.3,0.2,3.8,4.0,2.3,1.0,0.3,0.0,0.3,1.5,2.2,-0.7
".S. Curry, .N. Bjelica, .O. Porter Jr., .D. Lee, .J. Toscano-Anderson",GSW,6,3.4,7.7,3.0,6.5,46.2,1.2,3.0,38.9,0.5,0.7,75.0,1.3,2.8,4.2,2.3,1.3,0.7,0.0,0.2,1.0,1.7,2.7
".S. Curry, .A. Wiggins, .K. Looney, .G. Payton II, .D. Lee",GSW,6,2.6,4.5,1.7,5.0,33.3,0.5,1.7,30.0,0.7,0.8,80.0,0.5,1.3,1.8,0.7,0.8,0.5,0.2,0.3,1.7,0.8,-1.8
".D. Lee, .J. Toscano-Anderson, .J. Poole, .J. Kuminga, .M. Moody",GSW,6,2.5,6.0,2.3,4.7,50.0,0.5,2.2,23.1,0.8,0.8,100,0.5,1.8,2.3,1.0,0.5,0.3,0.2,0.2,1.3,1.3,1.0
".S. Curry, .N. Bjelica, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,6,2.3,4.8,2.0,3.8,52.2,0.3,1.3,25.0,0.5,0.7,75.0,0.3,1.2,1.5,1.0,0.7,0.5,0.2,0.2,1.7,0.5,-2.0
".S. Curry, .A. Wiggins, .K. Looney, .J. Poole, .M. Moody",GSW,6,1.8,3.8,1.2,2.5,46.7,0.5,1.0,50.0,1.0,1.0,100,0.3,1.5,1.8,0.3,0.8,0.0,0.2,0.5,1.5,0.7,-1.2
".S. Curry, .N. Bjelica, .D. Green, .A. Wiggins, .G. Payton II",GSW,6,1.7,4.7,1.5,3.2,47.4,0.7,1.5,44.4,1.0,1.0,100,0.3,1.5,1.8,1.3,0.2,0.3,0.2,0.0,0.3,0.7,1.5
".S. Curry, .O. Porter Jr., .A. Wiggins, .K. Looney, .D. Lee",GSW,6,1.1,2.2,0.7,1.5,44.4,0.2,0.5,33.3,0.7,1.3,50.0,0.0,0.5,0.5,0.2,0.3,0.0,0.3,0.0,0.2,0.7,-0.5
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .J. Kuminga",GSW,5,11.5,25.4,9.2,20.2,45.5,2.8,8.4,33.3,4.2,4.8,87.5,0.8,10.0,10.8,6.6,3.0,1.2,0.6,1.2,4.2,4.4,-1.8
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .G. Payton II",GSW,5,6.5,14.8,6.0,10.8,55.6,1.6,4.0,40.0,1.2,1.6,75.0,1.0,5.2,6.2,4.4,2.4,1.4,1.0,0.2,2.8,1.4,1.8
".A. Iguodala, .S. Curry, .D. Green, .A. Wiggins, .D. Lee",GSW,5,4.4,10.2,3.0,7.2,41.7,2.0,4.4,45.5,2.2,2.4,91.7,0.2,2.6,2.8,2.6,1.4,1.0,0.4,0.8,1.6,1.8,1.2
".A. Wiggins, .G. Payton II, .D. Lee, .J. Poole, .J. Kuminga",GSW,5,3.9,8.4,3.0,7.0,42.9,1.0,2.8,35.7,1.4,1.4,100,1.6,3.0,4.6,2.0,1.2,0.8,0.4,0.4,1.4,1.0,1.0
".S. Curry, .D. Green, .A. Wiggins, .D. Lee, .J. Toscano-Anderson",GSW,5,3.8,7.8,2.8,5.8,48.3,0.8,3.2,25.0,1.4,1.6,87.5,0.6,3.2,3.8,2.0,1.6,0.2,0.0,0.0,2.2,1.4,-0.4
".A. Wiggins, .K. Looney, .G. Payton II, .J. Poole, .M. Moody",GSW,5,2.4,5.6,2.2,4.4,50.0,0.6,1.4,42.9,0.6,0.8,75.0,0.2,1.6,1.8,1.0,0.2,0.0,0.2,0.2,1.0,0.8,-1.2
".S. Curry, .N. Bjelica, .K. Thompson, .J. Poole, .J. Kuminga",GSW,5,2.4,7.0,2.6,5.2,50.0,0.4,1.8,22.2,1.4,1.8,77.8,1.2,2.0,3.2,2.0,0.8,0.4,0.0,0.4,1.0,1.2,1.6
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .D. Lee",GSW,5,2.0,5.4,2.0,3.8,52.6,0.8,2.0,40.0,0.6,0.8,75.0,0.2,2.2,2.4,0.8,0.4,0.2,0.2,0.2,0.4,0.4,2.2
".D. Green, .A. Wiggins, .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,5,1.8,4.8,1.4,2.8,50.0,0.8,1.4,57.1,1.2,1.2,100,0.2,2.0,2.2,1.0,0.8,0.0,0.2,0.0,0.8,1.2,1.8
".S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Kuminga",GSW,5,1.8,3.4,1.2,3.6,33.3,0.6,1.4,42.9,0.4,0.6,66.7,0.6,1.2,1.8,0.8,0.4,0.6,0.0,0.0,0.6,0.2,-1.2
".S. Curry, .A. Wiggins, .G. Payton II, .J. Poole, .J. Kuminga",GSW,5,1.6,3.0,1.2,3.0,40.0,0.4,1.6,25.0,0.2,0.8,25.0,0.0,1.2,1.2,1.0,0.2,0.2,0.0,0.4,0.6,0.6,-0.6
".A. Iguodala, .S. Curry, .N. Bjelica, .D. Green, .G. Payton II",GSW,5,1.5,5.0,1.6,2.4,66.7,1.2,1.8,66.7,0.6,0.6,100,0.0,1.4,1.4,1.2,1.0,0.2,0.4,0.0,0.2,0.4,2.0
".S. Curry, .D. Green, .A. Wiggins, .D. Lee, .J. Poole",GSW,5,1.4,4.8,1.8,3.2,56.3,0.8,1.6,50.0,0.4,0.4,100,0.2,1.2,1.4,1.2,0.4,0.6,0.2,0.0,0.6,0.2,2.4
".S. Curry, .N. Bjelica, .A. Wiggins, .G. Payton II, .J. Poole",GSW,5,1.1,2.0,0.8,1.4,57.1,0.4,1.0,40.0,0.0,0.0,0.0,0.0,1.0,1.0,0.6,0.6,0.0,0.2,0.0,0.8,0.0,-1.4
".K. Thompson, .D. Green, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,4,5.0,11.8,4.5,9.3,48.6,1.0,3.0,33.3,1.8,2.0,87.5,2.0,3.3,5.3,2.5,2.3,0.5,0.0,0.8,2.0,1.8,-1.3
".N. Bjelica, .K. Thompson, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,4,4.9,12.5,5.3,9.3,56.8,1.8,3.3,53.8,0.3,0.5,50.0,0.8,3.0,3.8,4.0,0.8,0.3,0.5,1.0,1.8,1.8,1.3
".S. Curry, .N. Bjelica, .K. Thompson, .D. Lee, .J. Kuminga",GSW,4,4.6,10.8,4.3,9.8,43.6,1.0,4.3,23.5,1.3,1.5,83.3,0.8,4.0,4.8,3.0,0.8,0.5,0.5,1.0,2.0,1.3,-1.0
".D. Green, .A. Wiggins, .D. Lee, .J. Poole, .J. Kuminga",GSW,4,3.8,9.3,3.0,6.8,44.4,0.8,1.8,42.9,2.5,3.0,83.3,0.8,2.8,3.5,1.5,1.0,0.5,0.0,0.5,1.5,2.3,1.3
".S. Curry, .N. Bjelica, .G. Payton II, .D. Lee, .J. Toscano-Anderson",GSW,4,3.6,10.5,4.3,7.5,56.7,1.3,2.5,50.0,0.8,0.8,100,0.5,2.8,3.3,2.0,0.8,1.5,0.0,0.3,1.5,0.8,2.3
".A. Iguodala, .N. Bjelica, .D. Green, .G. Payton II, .J. Poole",GSW,4,3.1,7.8,3.0,4.5,66.7,0.5,1.8,28.6,1.3,1.5,83.3,0.3,2.3,2.5,2.3,2.3,1.8,0.5,0.0,0.8,1.0,1.3
".S. Curry, .N. Bjelica, .O. Porter Jr., .J. Poole, .J. Kuminga",GSW,4,3.1,8.3,3.0,5.0,60.0,1.0,2.3,44.4,1.3,1.5,83.3,0.0,0.8,0.8,1.5,0.8,0.8,0.5,0.0,1.0,2.0,-1.0
".A. Iguodala, .N. Bjelica, .O. Porter Jr., .G. Payton II, .J. Poole",GSW,4,2.8,3.0,0.8,5.0,15.0,0.5,4.0,12.5,1.0,1.0,100,0.8,1.0,1.8,0.8,1.3,0.8,0.0,0.0,0.8,1.0,-3.8
".A. Wiggins, .K. Looney, .G. Payton II, .D. Lee, .J. Poole",GSW,4,2.8,8.5,2.5,4.0,62.5,1.8,2.3,77.8,1.8,1.8,100,0.8,2.3,3.0,1.8,1.3,0.3,0.3,0.0,1.0,1.5,0.5
".S. Curry, .D. Green, .A. Wiggins, .G. Payton II, .J. Poole",GSW,4,2.8,5.8,2.5,6.0,41.7,0.5,3.0,16.7,0.3,0.8,33.3,1.3,3.5,4.8,2.0,1.8,0.8,1.0,0.0,1.8,1.0,1.5
".S. Curry, .K. Thompson, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,4,2.8,7.0,2.8,5.3,52.4,0.5,2.3,22.2,1.0,1.0,100,0.0,1.8,1.8,1.3,0.8,0.3,0.5,0.0,0.5,1.8,1.8
".D. Green, .A. Wiggins, .K. Looney, .G. Payton II, .J. Poole",GSW,4,2.6,5.8,2.5,4.5,55.6,0.8,2.3,33.3,0.0,0.0,0.0,0.3,1.8,2.0,2.0,0.8,0.5,0.3,0.3,0.8,0.3,1.0
".S. Curry, .N. Bjelica, .O. Porter Jr., .G. Payton II, .D. Lee",GSW,4,2.2,5.0,2.0,4.5,44.4,0.3,2.5,10.0,0.8,0.8,100,0.5,1.5,2.0,1.5,0.8,0.5,0.0,0.0,1.5,0.3,0.3
".D. Lee, .C. Chiozza, .J. Toscano-Anderson, .J. Kuminga, .M. Moody",GSW,4,2.0,4.0,1.5,3.3,46.2,0.8,1.8,42.9,0.3,0.5,50.0,0.3,2.0,2.3,1.3,0.3,0.0,0.0,0.5,0.5,0.3,1.0
".K. Thompson, .O. Porter Jr., .A. Wiggins, .J. Poole, .J. Kuminga",GSW,4,2.0,5.0,2.0,3.5,57.1,0.5,0.8,66.7,0.5,1.0,50.0,0.5,1.0,1.5,1.0,1.0,0.5,0.3,0.3,0.8,1.3,0.8
".O. Porter Jr., .A. Wiggins, .D. Lee, .J. Poole, .J. Kuminga",GSW,4,1.9,1.8,0.8,3.5,21.4,0.0,1.8,0.0,0.3,0.5,50.0,0.3,1.5,1.8,0.5,0.5,0.0,0.0,0.3,0.8,0.5,-3.3
".D. Green, .A. Wiggins, .K. Looney, .C. Chiozza, .J. Poole",GSW,4,1.8,4.5,1.5,2.3,66.7,0.8,1.3,60.0,0.8,1.0,75.0,0.0,1.5,1.5,1.0,0.5,0.0,0.0,0.0,0.8,0.8,-1.0
".N. Bjelica, .G. Payton II, .D. Lee, .J. Poole, .J. Kuminga",GSW,4,1.8,5.3,2.3,3.5,64.3,0.5,0.8,66.7,0.3,0.8,33.3,0.3,2.0,2.3,1.0,0.5,0.5,0.3,0.0,0.5,0.5,2.8
".S. Curry, .K. Thompson, .O. Porter Jr., .A. Wiggins, .J. Poole",GSW,4,1.8,7.8,2.5,4.3,58.8,1.3,2.3,55.6,1.5,1.5,100,0.5,0.5,1.0,1.5,0.0,0.3,0.3,0.3,1.5,1.5,3.0
".S. Curry, .O. Porter Jr., .A. Wiggins, .J. Poole, .J. Kuminga",GSW,4,1.8,5.5,2.3,3.5,64.3,0.5,1.0,50.0,0.5,0.5,100,0.3,1.5,1.8,0.5,0.8,0.5,0.0,0.0,1.3,0.5,0.5
".K. Thompson, .A. Wiggins, .K. Looney, .J. Poole, .J. Kuminga",GSW,4,1.7,3.0,1.3,3.8,33.3,0.3,1.8,14.3,0.3,0.3,100,0.8,0.8,1.5,0.8,0.0,0.3,0.3,0.3,0.8,0.0,-3.8
".N. Bjelica, .O. Porter Jr., .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,4,1.7,2.5,0.8,3.8,20.0,0.5,1.5,33.3,0.5,0.5,100,1.0,1.0,2.0,0.8,0.3,0.5,0.0,0.0,0.5,0.5,-1.5
".S. Curry, .N. Bjelica, .A. Wiggins, .G. Payton II, .J. Toscano-Anderson",GSW,4,1.6,4.5,1.5,2.8,54.5,0.5,1.3,40.0,1.0,1.0,100,0.0,0.8,0.8,1.5,0.0,0.8,0.3,0.3,0.8,0.8,2.3
".N. Bjelica, .D. Lee, .J. Toscano-Anderson, .J. Poole, .M. Moody",GSW,4,1.4,3.5,1.5,2.8,54.5,0.0,0.5,0.0,0.5,0.8,66.7,0.3,1.8,2.0,1.0,1.0,0.3,0.0,0.3,0.8,1.0,0.0
".A. Wiggins, .K. Looney, .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,4,1.2,1.5,0.8,1.8,42.9,0.0,0.8,0.0,0.0,0.5,0.0,0.0,1.3,1.3,0.5,0.5,0.0,0.0,0.0,1.0,0.3,-0.3
".S. Curry, .O. Porter Jr., .A. Wiggins, .G. Payton II, .J. Toscano-Anderson",GSW,4,1.1,2.3,0.8,2.0,37.5,0.3,1.0,25.0,0.5,0.5,100,0.5,0.5,1.0,0.3,0.3,0.3,0.3,0.0,0.5,0.5,0.3
".N. Bjelica, .O. Porter Jr., .G. Payton II, .D. Lee, .J. Poole",GSW,4,1.0,3.8,1.0,1.5,66.7,0.5,0.8,66.7,1.3,1.3,100,0.0,0.5,0.5,0.8,0.0,0.0,0.0,0.0,0.8,0.8,0.8
".S. Curry, .D. Green, .A. Wiggins, .G. Payton II, .J. Toscano-Anderson",GSW,4,0.5,1.3,0.5,0.8,66.7,0.3,0.3,100,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,0.0,0.0,0.5,0.0,0.3
".S. Curry, .O. Porter Jr., .G. Payton II, .J. Toscano-Anderson, .J. Kuminga",GSW,4,0.5,0.8,0.3,1.0,25.0,0.0,0.5,0.0,0.3,0.5,50.0,0.3,0.8,1.0,0.0,0.3,0.0,0.0,0.3,0.0,0.3,0.3
".A. Wiggins, .G. Payton II, .D. Lee, .J. Toscano-Anderson, .J. Kuminga",GSW,4,0.2,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0
".N. Bjelica, .D. Lee, .C. Chiozza, .J. Toscano-Anderson, .J. Kuminga",GSW,3,7.5,15.7,5.3,13.3,40.0,3.0,7.0,42.9,2.0,2.7,75.0,1.3,6.3,7.7,3.3,1.7,1.0,0.7,1.0,3.7,2.3,2.0
".S. Curry, .A. Wiggins, .K. Looney, .G. Payton II, .M. Moody",GSW,3,7.5,21.0,8.7,15.0,57.8,2.3,6.0,38.9,1.3,4.0,33.3,2.0,6.0,8.0,6.0,1.3,2.7,0.0,1.3,2.7,3.3,8.3
".K. Thompson, .D. Green, .A. Wiggins, .J. Poole, .J. Kuminga",GSW,3,5.5,10.0,3.7,10.3,35.5,2.0,6.0,33.3,0.7,1.3,50.0,1.0,3.7,4.7,3.0,1.0,0.0,0.0,0.0,2.0,0.7,-6.0
".S. Curry, .D. Green, .A. Wiggins, .K. Looney, .M. Moody",GSW,3,5.1,11.7,4.7,11.0,42.4,1.3,4.0,33.3,1.0,1.7,60.0,1.3,5.3,6.7,3.0,2.3,0.7,1.3,0.7,2.0,1.3,2.3
".S. Curry, .K. Thompson, .D. Lee, .J. Toscano-Anderson, .J. Kuminga",GSW,3,4.9,14.0,6.0,9.7,62.1,1.7,3.7,45.5,0.3,0.7,50.0,0.7,3.0,3.7,3.7,1.0,1.3,0.0,0.7,2.3,1.0,0.3
".S. Curry, .N. Bjelica, .O. Porter Jr., .C. Chiozza, .J. Toscano-Anderson",GSW,3,4.8,9.3,3.7,8.7,42.3,1.3,4.7,28.6,0.7,0.7,100,2.0,3.7,5.7,2.7,3.0,1.7,0.7,0.0,2.3,2.0,2.7
".S. Curry, .K. Thompson, .A. Wiggins, .K. Looney, .J. Toscano-Anderson",GSW,3,4.7,10.7,4.3,8.0,54.2,0.7,3.0,22.2,1.3,1.3,100,0.7,3.7,4.3,1.7,2.3,0.7,0.0,0.3,2.3,0.7,1.7
".S. Curry, .N. Bjelica, .O. Porter Jr., .D. Lee, .J. Kuminga",GSW,3,3.9,8.0,3.0,7.0,42.9,1.3,4.0,33.3,0.7,0.7,100,0.7,2.3,3.0,2.7,1.7,1.7,0.0,0.3,2.0,0.7,-0.3
".A. Iguodala, .O. Porter Jr., .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,3,3.8,7.7,3.3,5.3,62.5,1.0,2.0,50.0,0.0,0.0,0.0,0.0,2.0,2.0,2.7,1.7,0.7,0.7,0.3,2.3,0.3,2.7
".A. Iguodala, .S. Curry, .N. Bjelica, .O. Porter Jr., .J. Poole",GSW,3,3.7,8.7,3.0,6.7,45.0,1.7,4.7,35.7,1.0,1.0,100,0.3,3.0,3.3,3.0,0.3,1.0,0.3,0.0,0.7,1.0,1.7
".S. Curry, .D. Green, .O. Porter Jr., .G. Payton II, .J. Toscano-Anderson",GSW,3,3.7,9.7,3.3,4.7,71.4,1.0,1.7,60.0,2.0,2.0,100,0.7,2.7,3.3,2.3,2.7,1.3,1.0,0.3,1.3,2.0,3.3
".A. Iguodala, .S. Curry, .A. Wiggins, .K. Looney, .J. Poole",GSW,3,3.5,11.7,4.7,7.0,66.7,1.7,3.0,55.6,0.7,0.7,100,1.7,2.0,3.7,3.0,1.0,2.0,0.3,0.0,0.7,1.3,8.7
".O. Porter Jr., .A. Wiggins, .K. Looney, .J. Poole, .J. Kuminga",GSW,3,3.3,11.0,3.7,6.3,57.9,2.0,3.0,66.7,1.7,1.7,100,0.7,1.7,2.3,2.0,0.7,1.0,0.0,0.7,0.7,1.3,1.7
".S. Curry, .O. Porter Jr., .K. Looney, .D. Lee, .J. Toscano-Anderson",GSW,3,3.3,7.3,3.0,4.7,64.3,1.3,2.7,50.0,0.0,0.0,0.0,0.3,2.0,2.3,2.3,1.0,0.3,1.0,0.0,1.7,0.3,0.7
".A. Iguodala, .S. Curry, .N. Bjelica, .G. Payton II, .J. Kuminga",GSW,3,3.2,10.3,4.0,6.7,60.0,2.0,3.7,54.5,0.3,0.7,50.0,0.3,3.0,3.3,3.3,1.0,1.3,0.3,0.3,1.3,0.7,5.0
".N. Bjelica, .K. Thompson, .J. Poole, .J. Kuminga, .M. Moody",GSW,3,3.1,6.0,2.0,6.0,33.3,0.7,2.7,25.0,1.3,1.3,100,1.0,3.0,4.0,2.0,0.0,0.0,0.3,0.0,1.0,1.7,1.0
".S. Curry, .K. Thompson, .J. Toscano-Anderson, .J. Poole, .J. Kuminga",GSW,3,3.1,9.0,3.0,5.3,56.3,1.7,3.0,55.6,1.3,1.7,80.0,0.7,2.7,3.3,2.0,0.7,0.7,0.0,0.3,1.7,1.3,4.0
".A. Iguodala, .S. Curry, .O. Porter Jr., .D. Lee, .J. Toscano-Anderson",GSW,3,3.0,8.0,3.0,5.7,52.9,2.0,3.0,66.7,0.0,0.0,0.0,0.7,2.7,3.3,2.3,0.7,0.3,0.7,0.3,1.7,1.0,2.7
".S. Curry, .K. Thompson, .O. Porter Jr., .A. Wiggins, .G. Payton II",GSW,3,2.8,7.7,2.7,5.3,50.0,0.7,1.7,40.0,1.7,1.7,100,0.3,2.0,2.3,1.7,0.3,0.7,0.3,1.0,1.3,1.3,0.3
".N. Bjelica, .J. Toscano-Anderson, .J. Poole, .J. Kuminga, .M. Moody",GSW,3,2.7,3.3,1.0,3.3,30.0,0.0,2.0,0.0,1.3,2.0,66.7,0.0,1.7,1.7,0.3,1.7,0.0,1.0,0.3,1.0,1.3,-3.3
".A. Iguodala, .S. Curry, .N. Bjelica, .D. Green, .D. Lee",GSW,3,2.6,4.3,1.7,3.7,45.5,0.3,2.0,16.7,0.7,1.3,50.0,0.0,2.0,2.0,1.0,2.0,0.3,0.0,0.0,1.0,1.3,-2.7
".N. Bjelica, .D. Lee, .J. Toscano-Anderson, .J. Poole, .J. Kuminga",GSW,3,2.6,7.7,2.0,4.0,50.0,0.7,1.0,66.7,3.0,3.0,100,0.3,1.3,1.7,1.3,1.3,0.3,0.0,0.3,1.0,1.7,1.0
".S. Curry, .A. Wiggins, .K. Looney, .D. Lee, .J. Toscano-Anderson",GSW,3,2.6,5.0,1.7,4.7,35.7,0.7,2.0,33.3,1.0,1.0,100,1.0,1.3,2.3,1.3,1.3,0.7,0.0,0.3,1.7,1.0,-3.3
".S. Curry, .D. Lee, .J. Toscano-Anderson, .J. Poole, .J. Kuminga",GSW,3,2.5,6.3,1.7,3.7,45.5,0.3,2.0,16.7,2.7,2.7,100,0.0,2.0,2.0,1.7,1.0,1.0,0.0,0.0,1.0,2.0,1.3
".S. Curry, .N. Bjelica, .D. Lee, .J. Toscano-Anderson, .J. Poole",GSW,3,2.5,4.0,1.7,5.0,33.3,0.7,3.3,20.0,0.0,0.0,0.0,0.3,1.7,2.0,1.0,0.7,0.3,0.0,0.0,1.3,0.7,-3.0
".S. Curry, .O. Porter Jr., .D. Lee, .J. Toscano-Anderson, .J. Kuminga",GSW,3,2.5,6.0,2.3,4.7,50.0,1.3,3.0,44.4,0.0,0.3,0.0,0.3,1.7,2.0,1.0,0.3,0.7,0.0,0.3,1.0,0.3,1.0
