,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Rk,G,Date,Age,Tm,,Opp,,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-
,25,24,2021-12-08,33-269,GSW,,POR,W (+10),1,33:21,8,19,0.421,6,17,0.353,0,0,,2,0,2,2,1,0,4,3,22,10.5,16
,26,25,2021-12-11,33-272,GSW,@,PHI,L (-9),1,36:14,6,20,0.300,3,14,0.214,3,4,0.750,2,7,9,5,0,0,3,1,18,9.6,-9
,27,26,2021-12-13,33-274,GSW,@,IND,W (+2),1,35:21,8,20,0.400,5,15,0.333,5,5,1.000,1,5,6,6,1,1,7,1,26,15.9,17
,28,27,2021-12-14,33-275,GSW,@,NYK,W (+9),1,34:43,8,19,0.421,5,14,0.357,1,2,0.500,0,3,3,3,1,1,4,4,22,10.6,13
,29,28,2021-12-17,33-278,GSW,@,BOS,W (+4),1,35:15,8,21,0.381,5,14,0.357,9,9,1.000,1,4,5,4,1,0,6,6,30,15.8,-10
,30,,2021-12-18,33-279,GSW,@,TOR,L (-19),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,31,29,2021-12-20,33-281,GSW,,SAC,W (+15),1,36:14,13,27,0.481,4,12,0.333,0,1,0.000,0,3,3,4,0,2,4,1,30,16.6,16
,32,30,2021-12-23,33-284,GSW,,MEM,W (+9),1,37:19,13,22,0.591,8,14,0.571,12,12,1.000,0,4,4,4,2,0,3,1,46,38.4,15
,33,31,2021-12-25,33-286,GSW,@,PHO,W (+9),1,37:12,10,27,0.370,5,16,0.313,8,9,0.889,0,4,4,6,3,1,1,3,33,24.6,24
,34,32,2021-12-28,33-289,GSW,,DEN,L (-3),1,39:05,6,16,0.375,5,14,0.357,6,7,0.857,0,4,4,4,0,0,6,3,23,10.6,5
,35,33,2022-01-01,33-293,GSW,@,UTA,W (+7),1,35:31,8,18,0.444,6,12,0.500,6,7,0.857,0,6,6,9,0,1,3,3,28,22.8,4
,36,34,2022-01-03,33-295,GSW,,MIA,W (+7),1,32:01,3,17,0.176,1,10,0.100,2,2,1.000,0,3,3,10,0,1,2,3,9,3.7,0
,37,35,2022-01-05,33-297,GSW,@,DAL,L (-17),1,36:04,5,24,0.208,1,9,0.111,3,4,0.750,0,9,9,5,0,1,5,2,14,-0.1,0
,38,,2022-01-06,33-298,GSW,@,NOP,L (-5),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,39,36,2022-01-09,33-301,GSW,,CLE,W (+14),1,36:31,10,21,0.476,4,11,0.364,4,4,1.000,3,2,5,5,1,0,5,3,28,18.3,23
,40,37,2022-01-11,33-303,GSW,@,MEM,L (-8),1,38:41,8,21,0.381,2,9,0.222,9,10,0.900,1,9,10,10,2,0,3,3,27,23.3,-1
,41,38,2022-01-13,33-305,GSW,@,MIL,L (-19),1,29:15,4,11,0.364,2,6,0.333,2,2,1.000,0,8,8,4,2,0,4,0,12,9.1,-25
,42,39,2022-01-14,33-306,GSW,@,CHI,W (+42),1,27:37,7,15,0.467,4,10,0.400,1,2,0.500,0,2,2,2,1,0,1,0,19,12.9,24
,43,,2022-01-16,33-308,GSW,@,MIN,L (-20),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,44,40,2022-01-18,33-310,GSW,,DET,W (+16),1,28:33,6,11,0.545,4,8,0.500,2,2,1.000,0,3,3,8,3,0,1,1,18,20.8,21
,45,41,2022-01-20,33-312,GSW,,IND,L (-4),1,43:57,12,27,0.444,6,16,0.375,9,9,1.000,0,5,5,8,1,0,2,3,39,29.8,-4
,46,42,2022-01-21,33-313,GSW,,HOU,W (+2),1,38:56,6,21,0.286,4,13,0.308,6,8,0.750,0,4,4,12,1,1,2,3,22,17.0,2
,47,43,2022-01-23,33-315,GSW,,UTA,W (+2),1,35:02,5,20,0.250,1,13,0.077,2,2,1.000,2,2,4,6,0,0,1,0,13,6.2,-5
,48,44,2022-01-25,33-317,GSW,,DAL,W (+38),1,28:58,7,16,0.438,2,10,0.200,2,3,0.667,2,7,9,7,1,0,4,3,18,13.4,23
,49,45,2022-01-27,33-319,GSW,,MIN,W (+9),1,38:21,10,20,0.500,6,10,0.600,3,3,1.000,0,8,8,6,3,0,4,1,29,24.2,13
,50,46,2022-01-29,33-321,GSW,,BRK,W (+4),1,35:31,5,18,0.278,3,10,0.300,6,6,1.000,2,5,7,8,3,0,5,5,19,12.9,-3
,51,47,2022-01-31,33-323,GSW,@,HOU,W (+14),1,37:57,13,23,0.565,7,14,0.500,7,8,0.875,0,5,5,9,1,1,1,0,40,37.2,18
,52,,2022-02-01,33-324,GSW,@,SAS,W (+4),Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
,53,48,2022-02-03,33-326,GSW,,SAC,W (+12),1,31:40,7,11,0.636,4,7,0.571,2,2,1.000,0,1,1,7,2,0,4,4,20,16.7,21
,54,49,2022-02-07,33-330,GSW,@,OKC,W (+12),1,36:34,6,12,0.500,4,10,0.400,2,2,1.000,0,9,9,10,1,0,4,2,18,17.9,4
,55,50,2022-02-09,33-332,GSW,@,UTA,L (-26),1,29:39,5,13,0.385,3,8,0.375,3,4,0.750,1,6,7,2,0,0,4,2,16,7.6,-14
,56,51,2022-02-10,33-333,GSW,,NYK,L (-2),1,39:08,11,25,0.440,5,16,0.313,8,8,1.000,0,2,2,10,1,0,3,5,35,25.5,9
,57,52,2022-02-12,33-335,GSW,,LAL,W (+2),1,36:36,7,17,0.412,1,8,0.125,9,9,1.000,0,5,5,8,1,0,2,3,24,19.8,8
,58,53,2022-02-14,33-337,GSW,@,LAC,L (-15),1,33:49,11,18,0.611,8,13,0.615,3,3,1.000,0,2,2,2,0,0,4,2,33,22.0,-19
,59,54,2022-02-16,33-339,GSW,,DEN,L (-1),1,39:06,10,19,0.526,1,7,0.143,4,4,1.000,0,3,3,6,0,0,2,2,25,18.0,-2
,60,55,2022-02-24,33-347,GSW,@,POR,W (+37),1,27:27,5,11,0.455,2,7,0.286,6,6,1.000,0,5,5,14,1,1,3,3,18,21.1,19
,61,56,2022-02-27,33-350,GSW,,DAL,L (-6),1,38:04,11,25,0.440,3,10,0.300,2,4,0.500,1,3,4,10,2,0,1,0,27,22.7,-4
,62,57,2022-03-01,33-352,GSW,@,MIN,L (-15),1,33:13,10,24,0.417,5,16,0.313,9,9,1.000,1,4,5,4,0,0,4,1,34,21.5,-10
,63,58,2022-03-03,33-354,GSW,@,DAL,L (-9),1,40:26,8,15,0.533,4,5,0.800,1,1,1.000,0,5,5,9,1,0,3,3,21,18.3,-8
,64,59,2022-03-05,33-356,GSW,@,LAL,L (-8),1,35:41,13,22,0.591,4,9,0.444,0,0,,0,4,4,1,0,0,4,0,30,17.7,-12
